date	author	locationName	countryCode	lat	long	url
2012-04-15	Julien Deswaef	Rue Jean d'Ardenne, Bruxelles	BE	50.83208	4.36160	http://xuv.be
2012-06-23	Ateliers Populaires	Jardin des Brigittines, Bruxelles	BE	50.84022	4.34900
2013-04-09	Medialab Prado	Plaza de las Letras. C/ Alameda 15, Madrid	ES	40.41045	-3.69359
2013-06-12	Julien Deswaef	Recyclart, Bruxelles	BE	50.84089	4.34861
2013-06-07	RMLL	Place de la Monnaie, Bruxelles	BE	50.85011	4.35355
2013-06-09	RMLL	ULB, Campus Solbosch, Bruxelles	BE	50.81459	4.38151
2013-07-06	Locaux Motiv'	10 bis rue Jangot, Lyon	FR	45.75169	4.84245
2013-08	Olm-e & neighbours	Jardin-Sation, Laeken	BE	50.87754	4.35449
2013-10-06	Femke Snelting & Peter Westenberg	Sint-Jans-Molenbeek	BE	50.8594658	4.3438818
2013-09	Makea Tu Vida	Jardí Botànic de la Universitat de València	ES	39.47642	-0.38644
2013-12-03	Empreintes asbl	Namur	BE	50.4728	4.8653
2014-03-04	Empreintes asbl	École Sainte Marie, Namur	BE	50.27494	4.56297
2014-03-14	Empreintes asbl & Coquelicot asbl	Potager collectif quartier Saint Nicolas, Namur	BE	50.46454	4.87422
2014-03-19	Le jardin du chemin tordu	Chemin tordu du Mont-Boron, Nice	FR	43.69255	7.29254
2014-04-10	Empreintes asbl	Maison des Jeunes, Rhisnes	BE	50.4891	4.8062
2014-06-12	Mundo-B	Rue d'Edimbourg 26, Bruxelles	BE	50.83771	4.36472
2014-06	Barbara Janssens	Standaert-site, Ledeberg	BE	51.03665	3.74762
2014-07-12	Maza' Grand Événement	Place Mazagran, Lyon	FR	45.75153	4.84360
2014-08-16	Thomas Vackier	Veronicastraat, Gent	BE	51.0754231	3.7132703
2014-09-13	Laetitia Di Placido	Yerevan	AM	40.1732	44.5394
2014-09-27	La Manufabrik & Colibri06	Villars sur Var	FR	43.93609	7.09778
